Gender,Position,Type,Date Hired,Campus,Employment Status,Date of Birth,Years of Service,Age
Female,INSTRUCTOR I,FACULTY,11 01 2021,CAF Campus,PERMANENT,1 04 1995,2,28
Male,INSTRUCTOR I,FACULTY,1 12 2015,CAF Campus,PERMANENT,15 09 1994,7,28
Female,INSTRUCTOR II,FACULTY,1 08 2007,CAF Campus,PERMANENT,26 03 1983,15,40
Female,ASSISTANT PROFESSOR III,FACULTY,1 08 2007,CAF Campus,PERMANENT,21 10 1979,15,43
Female,SECURITY GUARD II,FACULTY,2 11 2010,CAF Campus,PERMANENT,10 11 1977,12,45
Female,ASSOCIATE PROFESSOR I,FACULTY,12 10 2009,CAF Campus,PERMANENT,10 10 1971,13,51
Female,NURSE II,FACULTY,4 01 1994,CAF Campus,PERMANENT,14 09 1970,29,52
Male,ASSOCIATE PROFESSOR V,FACULTY,8 01 1990,CAF Campus,PERMANENT,4 11 1965,33,57
Male,SECURITY GUARD I,FACULTY,2 11 2015,CAF Campus,PERMANENT,7 01 1966,7,57
Male,SCHOOL FARMING COORDINATOR III,FACULTY,20 11 2006,CAF Campus,PERMANENT,16 06 1964,16,58
Male,ASSOCIATE PROFESSOR V,FACULTY,8 01 1990,CAF Campus,PERMANENT,17 01 1964,33,59
Female,PROFESSOR VI,FACULTY,7 11 1988,CAF Campus,PERMANENT,13 10 1963,34,59
Male,ASSISTANT PROFESSOR I,FACULTY,11 07 1983,CAF Campus,PERMANENT,7 05 1961,39,61
Male,INSTRUCTOR I,FACULTY,5 10 2015,CAF Campus,PERMANENT,28 09 1993,7,29
Male,INSTRUCTOR I,FACULTY,20 02 2018,CAF Campus,PERMANENT,8 05 1989,5,33
Female,ASSOCIATE PROFESSOR I,FACULTY,11 02 2015,CAF Campus,PERMANENT,9 09 1983,8,39
Female,ASSOCIATE PROFESSOR I,FACULTY,11 02 2015,CAF Campus,PERMANENT,9 09 1983,8,39
Male,FARM WORKER I,STAFF,28 05 2012,CAF Campus,PERMANENT,12 10 1981,10,41
Male,SECURITY GUARD I,STAFF,23 01 2012,CAF Campus,PERMANENT,30 06 1973,11,49
Female,SECURITY GUARD I,STAFF,12 12 1995,CAF Campus,PERMANENT,11 05 1968,27,54
Male,ASSOCIATE PROFESSOR IV,STAFF,10 01 1995,CAF Campus,PERMANENT,29 09 1968,28,54
Female,COLLEGE LIBRARIAN III,STAFF,1 04 2003,CAF Campus,PERMANENT,21 01 1968,20,55
Male,ADMINISTRATIVE AIDE IV,STAFF,10 10 2019,CAF Campus,PERMANENT,29 04 1997,3,25
Male,INSTRUCTOR I,STAFF,16 09 2021,CAF Campus,PERMANENT,31 10 1995,1,27
Male,INSTRUCTOR I,STAFF,3 01 2017,CAF Campus,PERMANENT,17 02 1994,6,29
Female,ACCOUNTANT II,STAFF,26 03 2021,CAF Campus,PERMANENT,15 09 1992,2,30
Female,DENTAL AIDE,STAFF,3 12 2018,CAF Campus,PERMANENT,27 12 1990,4,32
Male,VETERINARIAN II,STAFF,23 04 2018,CAF Campus,PERMANENT,23 03 1990,4,33
Male,ADMINISTRATIVE OFFICER I,STAFF,23 11 2015,CAF Campus,PERMANENT,4 12 1989,7,33
Female,HEAVY EQUIPMENT OPERATOR I,STAFF,18 01 2012,CAF Campus,PERMANENT,30 01 1985,11,38
Female,AGRICULTURAL TECHNICIAN I,STAFF,13 08 2018,CAF Campus,PERMANENT,18 06 1983,4,39
Male,ASSISTANT PROFESSOR I,STAFF,3 04 2006,CAF Campus,PERMANENT,18 06 1983,17,39
Male,FARM WORKER I,STAFF,8 09 2015,CAF Campus,PERMANENT,10 06 1982,7,40
Male,SECURITY GUARD I,STAFF,3 12 2015,CAF Campus,PERMANENT,14 02 1982,7,41
Male,ASSISTANT PROFESSOR III,STAFF,2 11 2011,CAF Campus,PERMANENT,7 02 1981,11,42
Female,COLLEGE LIBRARIAN II,STAFF,12 03 2007,CAF Campus,PERMANENT,6 01 1979,16,44
Female,FARM WORKER I,STAFF,8 09 2015,CAF Campus,PERMANENT,25 01 1975,7,48
Male,SECURITY GUARD I,STAFF,15 05 2017,CAF Campus,PERMANENT,10 07 1974,5,48
Male,INSTRUCTOR III,STAFF,1 08 2007,CAF Campus,PERMANENT,19 10 1973,15,49
Male,SECURITY GUARD I,STAFF,16 01 2003,CAF Campus,PERMANENT,6 01 1974,20,49
Male,ADMINISTRATIVE AIDE III,STAFF,11 04 2011,CAF Campus,PERMANENT,9 08 1970,11,52
Female,INSTRUCTOR III,STAFF,2 03 2015,CAF Campus,PERMANENT,30 12 1968,8,54
Male,ASSOCIATE PROFESSOR V,STAFF,26 06 1996,CAF Campus,PERMANENT,21 05 1968,26,54
Female,ADMINISTRATIVE AIDE IV,STAFF,24 02 1995,CAF Campus,PERMANENT,13 06 1964,28,58
Male,ASSOCIATE PROFESSOR V,STAFF,11 07 1983,CAF Campus,PERMANENT,4 08 1960,39,62
Male,INSTRUCTOR I,FACULTY,7 01 2022,Calinog Campus,PERMANENT,6 09 1992,1,30
Male,ASSISTANT PROFESSOR IV,FACULTY,13 06 2017,Calinog Campus,PERMANENT,7 02 1992,5,31
Male,ASSOCIATE PROFESSOR IV,FACULTY,1 12 2011,Calinog Campus,PERMANENT,19 07 1987,11,35
Female,ASSOCIATE PROFESSOR I,FACULTY,9 06 2014,Calinog Campus,PERMANENT,11 12 1986,8,36
Female,ASSOCIATE PROFESSOR II,FACULTY,1 12 2011,Calinog Campus,PERMANENT,9 12 1986,11,36
Male,FARM WORKER I,FACULTY,19 03 2013,Calinog Campus,PERMANENT,10 03 1981,10,42
Female,ASSISTANT PROFESSOR IV,FACULTY,1 12 2015,Calinog Campus,PERMANENT,16 12 1978,7,44
Female,ADMINISTRATIVE AIDE IV,FACULTY,12 03 2012,Calinog Campus,PERMANENT,5 10 1978,11,44
Female,ASSISTANT PROFESSOR IV,FACULTY,11 11 2016,Calinog Campus,PERMANENT,27 02 1977,6,46
Female,ASSOCIATE PROFESSOR I,FACULTY,1 08 2007,Calinog Campus,PERMANENT,12 01 1976,15,47
Male,SCHOOL FARM DEMONSTRATOR,FACULTY,17 03 2003,Calinog Campus,PERMANENT,20 11 1973,20,49
Male,ASSOCIATE PROFESSOR III,FACULTY,2 10 2000,Calinog Campus,PERMANENT,2 05 1973,22,49
Male,ASSOCIATE PROFESSOR V,FACULTY,4 11 2002,Calinog Campus,PERMANENT,31 08 1972,20,50
Female,SECURITY GUARD I,FACULTY,24 09 2012,Calinog Campus,PERMANENT,27 12 1972,10,50
Female,ASSOCIATE PROFESSOR V,FACULTY,2 12 1997,Calinog Campus,PERMANENT,30 08 1972,25,50
Male,SECURITY GUARD I,FACULTY,4 01 2002,Calinog Campus,PERMANENT,29 10 1972,21,50
Female,ASSOCIATE PROFESSOR V,FACULTY,16 11 1998,Calinog Campus,PERMANENT,1 05 1970,24,52
Female,ASSOCIATE PROFESSOR V,FACULTY,8 07 1996,Calinog Campus,PERMANENT,29 10 1969,26,53
Female,FARM WORKER I,FACULTY,16 01 1996,Calinog Campus,PERMANENT,21 10 1965,27,57
Female,ADMINISTRATIVE AIDE III,FACULTY,1 03 2005,Calinog Campus,PERMANENT,28 09 1965,18,57
Female,ASSOCIATE PROFESSOR V,FACULTY,4 02 2008,Calinog Campus,PERMANENT,23 11 1964,15,58
Male,ASSOCIATE PROFESSOR V,FACULTY,1 01 1988,Calinog Campus,PERMANENT,16 06 1962,35,60
Male,FARM WORKER II,FACULTY,17 07 2006,Calinog Campus,PERMANENT,19 11 1959,16,63
Female,INSTRUCTOR I,FACULTY,13 06 2017,Calinog Campus,PERMANENT,6 10 1993,5,29
Male,ADMINISTRATIVE AIDE IV,STAFF,11 06 2018,Calinog Campus,PERMANENT,11 12 1993,4,29
Male,INSTRUCTOR I,FACULTY,1 06 2012,Calinog Campus,PERMANENT,29 06 1991,10,31
Female,ADMINISTRATIVE AIDE IV,STAFF,1 12 2014,Calinog Campus,PERMANENT,19 05 1991,8,31
